id,date,time,direction,motorcycle,car,bus,truck
118,2023-09-02,08:30,JalanPerak,,,,
119,2023-09-02,08:30,JalanPRamlee,,,,
120,2023-09-02,08:30,JalanPenang,,,,
121,2023-09-02,08:45,stadium,,,,
122,2023-09-02,08:45,JalanPerak,,,,
123,2023-09-02,08:45,JalanPRamlee,,,,
124,2023-09-02,08:45,JalanPenang,,,,
125,2023-09-02,12:00,stadium,,,,
126,2023-09-02,12:00,JalanPerak,,,,
127,2023-09-02,12:00,JalanPRamlee,,,,
128,2023-09-02,12:00,JalanPenang,,,,
129,2023-09-02,12:15,stadium,,,,
130,2023-09-02,12:15,JalanPerak,,,,
131,2023-09-02,12:15,JalanPRamlee,,,,
132,2023-09-02,12:15,JalanPenang,,,,
133,2023-09-02,12:30,stadium,,,,
134,2023-09-02,12:30,JalanPerak,,,,
135,2023-09-02,12:30,JalanPRamlee,,,,
136,2023-09-02,12:30,JalanPenang,,,,
137,2023-09-02,12:45,stadium,,,,
138,2023-09-02,12:45,JalanPerak,,,,
139,2023-09-02,12:45,JalanPRamlee,,,,
140,2023-09-02,12:45,JalanPenang,,,,
141,2023-09-02,13:00,stadium,,,,
142,2023-09-02,13:00,JalanPerak,,,,
143,2023-09-02,13:00,JalanPRamlee,,,,
144,2023-09-02,13:00,JalanPenang,,,,
145,2023-09-02,13:15,stadium,,,,
146,2023-09-02,13:15,JalanPerak,,,,
147,2023-09-02,13:15,JalanPRamlee,,,,
148,2023-09-02,13:15,JalanPenang,,,,
149,2023-09-02,13:30,stadium,,,,
150,2023-09-02,13:30,JalanPerak,,,,
151,2023-09-02,13:30,JalanPRamlee,,,,
152,2023-09-02,13:30,JalanPenang,,,,
153,2023-09-02,13:45,stadium,,,,
154,2023-09-02,13:45,JalanPerak,,,,
155,2023-09-02,13:45,JalanPRamlee,,,,
156,2023-09-02,13:45,JalanPenang,,,,
157,2023-09-02,17:00,stadium,,,,
158,2023-09-02,17:00,JalanPerak,,,,
159,2023-09-02,17:00,JalanPRamlee,,,,
160,2023-09-02,17:00,JalanPenang,,,,
161,2023-09-02,17:15,stadium,,,,
162,2023-09-02,17:15,JalanPerak,,,,
163,2023-09-02,17:15,JalanPRamlee,,,,
164,2023-09-02,17:15,JalanPenang,,,,
165,2023-09-02,17:30,stadium,,,,
166,2023-09-02,17:30,JalanPerak,,,,
167,2023-09-02,17:30,JalanPRamlee,,,,
168,2023-09-02,17:30,JalanPenang,,,,
169,2023-09-02,17:45,stadium,,,,
170,2023-09-02,17:45,JalanPerak,,,,
171,2023-09-02,17:45,JalanPRamlee,,,,
172,2023-09-02,17:45,JalanPenang,,,,
173,2023-09-02,18:00,stadium,,,,
174,2023-09-02,18:00,JalanPerak,,,,
175,2023-09-02,18:00,JalanPRamlee,,,,
176,2023-09-02,18:00,JalanPenang,,,,
177,2023-09-02,18:15,stadium,,,,
178,2023-09-02,18:15,JalanPerak,,,,
